"Title","ID","Created Date","Updated Date","Owner","Code"
"OMRON GRT1-ROS2","7611fa2b-ce68-46f8-8f9f-9c811b1d728c",2024-07-04T16:02:50Z,2024-07-04T16:03:04Z,"8901a580-8b7d-4cf0-9262-299d87e21186","OMRON GRT1-ROS2"
"ELTRA ER40A200S5/28P6X6PR5.774","785e6d8f-344d-401d-9e91-423823029a2c",2024-07-04T15:46:05Z,2024-07-04T15:46:23Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA  ER40A200S5/28P6X6PR5.774"
"IFM E30057","7ac77d95-aa5f-46f2-b984-9d63cedf5c70",2024-07-04T15:50:11Z,2024-07-04T15:51:09Z,"8901a580-8b7d-4cf0-9262-299d87e21186","E30057"
"IFM IIS234","7b09ced9-61a0-484d-b37b-5034e7e1ebf6",2024-07-04T15:51:38Z,2024-07-04T15:52:10Z,"8901a580-8b7d-4cf0-9262-299d87e21186","IIS234"
"EUCHNER GSBF04R08-552-M","7bf3d251-ef67-4110-9724-73db39932f49",2024-07-04T15:48:01Z,2024-07-04T15:48:27Z,"8901a580-8b7d-4cf0-9262-299d87e21186","EUCHNER 086565 EUCHNER GSBF04R08-552-M "
"KLASCHKA BDIF-m42rg-4s","7dca6fdc-057f-4dcd-9429-0f50e5a9b897",2024-07-04T15:53:50Z,2024-07-04T15:54:24Z,"8901a580-8b7d-4cf0-9262-299d87e21186","BDIF-m42rg-4s 130561"
"ELTRA ER40A100S5/28P6X6PR5.774","7ecc14fc-8940-40a6-a851-f964720d982d",2024-07-04T15:46:03Z,2024-07-04T15:46:18Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA  ER40A100S5/28P6X6PR5.774"
"IFM DTE 100","80d97201-9574-481a-ab64-e0cd32159107",2024-07-04T15:50:08Z,2024-07-04T15:50:46Z,"8901a580-8b7d-4cf0-9262-299d87e21186","DTE 100"
"ELTRA 58D250S5/28P10X6CR.207","81f5e062-5450-45dd-bde4-f63e9785bba3",2024-07-04T15:46:06Z,2024-07-04T15:46:30Z,"8901a580-8b7d-4cf0-9262-299d87e21186","ELTRA 58D250S5/28P10X6CR.207"
"LR-ZB100CN","83951c0a-3da8-4d00-a16c-401665e487f6",2024-07-04T15:59:03Z,2024-07-04T15:59:32Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LR-ZB100CN"
"LEUZE HRTR 25B/66-550F,200-S12","83fa2123-ff5f-4b66-9c82-d079196c8d54",2024-07-04T15:57:31Z,2024-07-04T15:57:57Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50116841 LEUZE HRTR 25B/66-550F,200-S12"
"LEUZE HRTR 3B/66-S8","8564bc4c-e42a-4e9d-9ef3-cfe0b831cb71",2024-07-04T15:57:59Z,2024-07-04T15:58:23Z,"8901a580-8b7d-4cf0-9262-299d87e21186","LEUZE 50107229 LEUZE HRTR 3B/66-S8"
